"","no","comments","likes","date","caption","time","Sentiment_Score","Time","Popularity_Score","animal_score"
"1",1,2862,199440,"2015-11-13 12:58:49","   I photographed these elephants and mahouts at a rescue sanctuary in Chiang Mai, Thailand. The mahouts dedicate their lives to caring for a specific elephant, and spend their days and nights caring for all the elephant's needs.",1447448329,1,"PM",342540,1
"2",2,995,102282,"2015-11-13 09:45:33"," Martin: “Do you live on the street?”David: “I've been living on the street for five years, going on six.”M: “Anyone who saw you walking down the street would never know. How do you keep that shirt so clean?”D: “I learn how to keep it clean. You gotta adapt to your environment…take time to respect yourself if you want respect from others.”M: “You go to job interviews?”D: “I've had jobs.”M: “What kind of jobs have you had?”D: “I had a job right here in landscaping.” M: “You like landscaping?”D: “Yeah, it's fun. I know a lot about it. It's what I've been doing my whole life besides laying brick and reconstructing houses.”M: “How did you end up living on the streets? What happened?”D: “I was a foster kid for a couple years. The last couple of years of childhood. So when I got out I had a scholarship to go to college and I took advantage of the scholarship but in the middle of nowhere in Arizona I didn't have anywhere to go for summer break so I ended up moving out here, getting a job…It took me three years to get back into school at [college – name withheld]. I’m on scholarship too.”M: “Do your other classmates know you live on the streets?”D: “I had a classmate that…We got to know each other and he kinda figured. But I don't try to… I don't like that being exposed.”M: “Do you know of any other students living on the streets, going to college?”D: “My age that are full time? No.”M: “Are you sure you're okay having your picture out there?”D: “Don't worry about it.”M: “Really?”D: “Don't put it on there, yeah.” .The Greater West Hollywood Food Coalition  helps people like David get back on their feet. Want to help make a difference? For details and more portraits follow me: .",1447436733,13,"AM",152032,0
"3",3,946,243703,"2015-11-13 08:46:16","  / The arrival of sea ice ends the isolation of island villages like Saattut, home to 200 people and 500 sled dogs. Freed from boats or costly air travel, residents take to sleds and snowmobiles for hunting trips and visits to relatives. No roads connect towns in Greenland, even on the mainland.Published in National Geographic Magazine as part of the Melting away story in the November - climate change special  issue. Please follow  to see more images and stories from Northern Greenland. climatechange melting seaice Greenland Inuits nature",1447433176,0,"AM",291003,0
"4",4,612,129702,"2015-11-13 08:03:59","Participate in the Nolathread project! Post a photo of someone that makes your own hometown special and tag NolaThread and  in the caption so I can see it. I will repost my favorite on  tomorrow. Soundportrait by  | Listen to the words of young Michael Tenner, 11, a Spyboy with Comanche Hunters Mardi Gras Indians in NewOrleans I started the Nolathread project in the LowerNinthWard and asked the first subject to chose the next- that person sent me to the next, and so on. Follow this thread of the cultural fabric of my hometown today on    and . All of the soundportraits are composite “stitch” photos and are featured on the  website- link in  bio. The next Nolathread soundportrait will be on  in one hour.",1447430639,1,"AM",160302,0
"5",5,1394,355701,"2015-11-13 07:09:07"," A Blacktip Reef Shark swims through the surf zone on uninhabited Millennium Atoll in the Central South Pacific.Diving these unspoiled reefs is like traveling back in time.Photographed on assignment for  for a about the Southern Line Islands; a remote and amazing series of coral reef ecosystems. pristineseas sharks coralreefs pacific nature picoftheday",1447427347,2,"AM",425401,1
"6",6,1735,299755,"2015-11-13 06:16:31","This wk in 1954 Ellis Island officially closed. The deserted sections of the island remain wonderfully eerie-echoes of the hope and heartbreak of the place. ",1447424191,1,"AM",386505,0
"7",7,1198,327520,"2015-11-13 05:49:03","Photograph by  Bowhead whales occasionally do a behavior called “rocknosing” where they put their noses on the bottom of the ocean floor and do a head stand.  No one knows why they do this but I have never seen it with any other cetacean species.  They will hang their tails high in the air for several minutes at a time.  Bowhead whales get their name from their bow shaped heads and mouths.  To see a photograph of a 50 foot long bowhead whale underwater when it approached to within two feet of me, please followme on .  With  and  whale bowheadwhale cool climatechange 202020 wildlife gratitude explore nature smile love beauty adventure travel   instagood tbt follow followme photooftheday happy tagforlikes beautiful like picoftheday summer fun friends",1447422543,8,"AM",387420,0
"8",8,5870,436116,"2015-11-13 04:41:08"," I photographed this Patagonian fox (or South American gray fox), in Torres del Paine National Park, Chile during a  assignment. This particular individual turned out to be a good model; beautiful, quite easily habituated and curious. That can not be said about all animals we're after as  photographers.  Torres del Paine National Park is really amazingly beautiful and has become one of my favorites in South America. Go to  to see Grey glacial lake in the park (where I fell into the icy water right after taking the picture now posted on my flow! torresdelpaine grayfox chile wwf protectbiodiversity conservation patagonia    ",1447418468,3,"AM",729616,1
"9",9,1976,286978,"2015-11-12 22:46:54","Cuban DJ's of Electronica Music say goodbye to their friends in the city of Holguin, Cuba, before driving back to Havana. Follow  for more.",1447397214,0,"PM",385778,0
"10",10,516,300309,"2015-11-12 21:09:38"," August 2009. The west branch of the Columbia Glacier, pouring out of the heart of the Chugach Mountains of Alaska. The glacier dynamics here are wildly interesting and extremely dramatic. In the last 3 years alone, the west branch has retreated approximately 3 miles! Over the course of 30 years, the main branch of the glacier has deflated over 1,000 feet and retreated over 10 miles. I’ve posted the 2015 repeat image of the frame above on my account . You may also see this repeat featured on the National Geographic Photo Blog. The change is unbelievable. ExtremeIceSurvey Ice ClimateChange Anthropocene ArtPlusScience TBT Alaska Proof",1447391378,-1,"PM",326109,0
"11",11,12721,423746,"2015-11-12 20:09:52","  | An adult male gelada monkey stands on his hind legs to look for a group of bachelor gelada males that are following and harassing his family group. Shot in the central highlands of Ethiopia onassignment for nat geo magazine. Today is my last day in Ethiopia. Going to miss this place. I'm  if you want to continue to follow along on my journey.",1447387792,0,"PM",1059796,1
"12",12,1308,400078,"2015-11-12 18:39:51","Statue Man by . A Bayei fisherman in his mokoro paused above me as I worked in the submerged lily gardens that line the Ncamasere Channel of the OkavangoDelta Botswana. The fisherman's silhouette looks like an African carving. the Okavango Delta was named a UNESCO WorldHeritageSite in 2014. For  with    beauty joy respectnature for moreocean follow me ",1447382391,2,"PM",465478,0
"13",13,1858,370303,"2015-11-12 15:01:42","photo by  | It’s a bird… it’s a plane… it’s fish! Check out these minnows, soaring over the Powder River in Wyoming, one of the last, free-flowing prairie rivers that still has its original compliment of fish. Follow me, , to see how this photo was made! photooftheday joelsartore",1447369302,0,"PM",463203,1
"14",14,3490,409259,"2015-11-12 10:51:46"," A harbor seal plays within a kelp forest near the surface at Cortes Banks, a range of underwater mountains located 100-miles off the coast of San Diego, California. Shot onassignment for . Follow  to see more ocean wildlife photos. seals oceanlife underwater seamounts",1447354306,0,"AM",583759,1
"15",15,2306,321926,"2015-11-12 09:33:13","   Thousands of white doves live at the blue mosque in Mazar-e-Sharif. They are a tourist attraction for Afghans, and are fed and cared for by visitors, by traders and farmers who come to market, and by residents of the northern region who come to the city to pray at the large mosque.  For many, the doves provide a symbol of peace.",1447349593,3,"AM",437226,0
"16",16,589,255545,"2015-11-12 07:20:29","On this day in 1954 Ellis Island, that storied gateway to America, closed. Much of the island fell into disrepair over time. Shot on assignment for   ellisisland",1447341629,0,"AM",284995,0
"17",17,549,127346,"2015-11-12 06:39:59","  | Jermaine Bossier, Big Chief of the 7th Ward Creole Hunters Mardi Gras Indians in his New Orleans home.Participate in the Nolathread project! Post a photo of someone that makes your own hometown special and tag NolaThread and  in the caption so I can see it. I will post my favorite on my account on Saturday.I started the project in the LowerNinthWard of NewOrleans and asked the first subject to chose the next- that person sent me to the next, and so on. Following this Nolathread was a powerful journey into the social and cultural fabric of my hometown. All of the soundportraits are composite “stitch” photos and are featured on the Nat Geo website- link in  bio. I will post the next soundportrait in one hour on my  account.",1447339199,3,"AM",154796,0
"18",18,1113,282753,"2015-11-12 06:38:34"," A flock of Scarlet Ibis paint the the sky in Los Llanos in Venezuela. This species was first classified  in 1758 by a fellow Swede, the King of botany (and taxonomy), Carl Linnaeus. The scarlet ibis is the only shorebird with red coloration in the world and what color, amazing.Go to  to meet the funky stink bird or Hoatzin, one of the most peculiar birds of South America! Flocks of scarlet ibis gather in wetlands and other marshy habitats, including mud flats, shoreline and rainforests. To see them lift off in the late afternoon is something extraordinary to watch.These birds eat a lot of shrimp and other similar fare like small crabs and mollusks.The large quantity of shrimp and other red shellfish produces a surfeit of astaxanthin, a carotenoid which is the main component of the red pigmentation of this ibis. To attract a female, the male performs a variety of charming mating rituals including preening, wobbly head, shaking beak, bill popping, head rubbing, and high precision flights. ibis scarletibis mattiasklum iucn amazing art photooftheday instagood conservation science   ",1447339114,5,"AM",338403,1
"19",19,1966,410646,"2015-11-12 04:50:32","  / Crossing the frozen fjord, Uunartoq Løvstrøm’s dogs pull him and his sled home to his island. He disciplined the dog on the right for being disobedient and tangling the ropes. When the sea freezes, the world of the north suddenly becomes larger. Horizons expand even as daylight contracts. Greenlanders, all 56,000 of them, live their lives facing seaward, with a vast, uninhabitable interior at their backs. No roads cross the glaciers and plunging fjords that separate the scattered coastal towns. For as long as the Inuit have been in Greenland, winter has been the time for visits, journeys, and hunts.Read the entire story in  November climate change issue and learn more about the Inuit life in Greenland.You are also welcome to visit  exhibition 'On Thin Ice' opening tomorrow November 13 in Caen, France at Festival Les Boréales. Greenland sled dogs seaice winter Inuit Arctic",1447332632,2,"AM",508946,1
"20",20,4366,348532,"2015-11-12 02:55:25","  | a juvenile gelada monkey jumps from a tree branch. Shot on assignment for nat geo magazine in the central highlands of Ethiopia. For more funny monkey photos, please follow ",1447325725,2,"AM",566832,1
"21",1,1755,172172,"2015-11-14 12:11:11","Photograph by   A mating pair of king penguins tenderly preen one another on the island of South Georgia, Antarctica.  Please follow me on  to see a valley with over 300,000 king penguins.  For   penguin kingpenguin antarctica  climatechange  202020 wildlife gratitude explore nature smile love beauty adventure travel   instagood tbt follow followme photooftheday happy tagforlikes beautiful like picoftheday summer fun friends",1447531871,8,"PM",259922,1
"22",2,439,215639,"2015-11-14 11:11:11","Photo  | Well, my first assignment for Nat Geo magazine is over. I'm sitting at the airport in Addis Ababa, capital of Ethiopia, waiting for my flight home to Virginia. Lots to think about and reflect on. Mostly I'm thinking about what my editors will think of the photos I got with colleague  . I'm also missing Guassa, the  wild plateau where I spent the last 6 weeks living with a herd of gelada monkeys and two very cool researchers. Here is a photo from my last day in Ethiopia. The weather was terrible: Cold and foggy and raining. But it was nice in a weird way. I'm  if you want to see what I get into next.",1447528271,0,"AM",237589,0
"23",3,311,172238,"2015-11-14 10:09:15","  / This is a reflection of my friend Uunartoq Løvstrøm, a lean 72-year-old  hunter from Northern Greenland. One week ago I received a package from Washington, DC. There was a November's issue of National Geographic Magazine, in which my story from Greenland is published. Words can't describe how I felt when I opened the package and I saw my story printed for the first time. Browsing through the magazine brought back the memories from my childhood when I used to read every issue of the yellow frame magazine in search of powerful photos from around the world. I even remember back in primary school how I wrote down that one of my life goals was to become a National Geographic photographer. I am immensely grateful to the National Geographic Magazine and photo editors for giving me the opportunity to make my childhood dreams become a reality. If you have a chance I would highly recommend that you buy the November  issue and read the story about how life is changing for my friends from Greenland. Follow more at  Greenland sea-ice fishing November NatGeo Climatechange",1447524555,6,"AM",187788,0
"24",4,1532,380493,"2015-11-14 04:04:12","  (Ira Block) A rainbow at Gullfoss,  a large waterfall in southwest Iceland on the Hvítá River. The river is fed by Iceland's second largest glacier, the Langjökull. Followme to see more Iceland images    iceland gullfoss waterfall rainbow pictureoftheday",1447502652,-1,"AM",457093,0
"25",5,2676,404951,"2015-11-14 02:33:05","Photograph by   The exact reason why whales breach is uncertain, but scientists believe that it probably has to do with dislodging parasites or communicating with other whales at great distances. This humpback whales breached repeatedly for almost half an hour off South Africa's Wild Coast, during its migration from Antarctica to its calving grounds off Madagascar    ocean photooftheday whales play For more images of whales and marine megafauna from around the world follow  photographer ",1447497185,0,"AM",538751,0
"26",6,925,336024,"2015-11-14 01:02:31","  (Robbie Shone) - Two explorers return to the surface by ascending ropes out of a large moulin on the Gorner glacier, Switzerland. As morning temperatures rise, the risk of a sudden flood of meltwater puts an end to exploration inside this particular cave. However, the team will return.",1447491751,0,"AM",382274,0
"27",7,1151,348804,"2015-11-13 18:38:25","Photo from  | At Millennium Atoll in the Southern Line Islands, the seafloor is covered with healthy coral communities, and the waters are dominated by predators such as these gray reef sharks.  National Geographic Explorer-in-Residence and Pristine Seas leader . Follow  to the wildest and most remote places on earth. National Geographic's Pristine Seas project is on a mission to explore, document, help protect and inspire world leaders to establish marine reserves where marine life can thrive for generations to come. pristineseas ocean sharks coral conservation exploration southern line islands kiribati millenniumatoll",1447468705,4,"PM",406354,1
"28",8,786,258240,"2015-11-13 16:18:50","photo by  | Check out this male lesser prairie chicken, a species that risks eventual extinction due to wind turbines and collisions with fences. The Sutton Avian Research Center has made substantial efforts to conserve these birds by identifying these threats and offering fence-marking solutions. Sutton also understands that proper placement of the turbines is crucial to preserving the species' dwindling habitat. Follow me, , to see more members of the PhotoArk. photooftheday joelsartore",1447460330,-1,"PM",297540,1
"29",9,506,317646,"2015-11-13 16:16:45","Photo  Yellowstone elk migration. What happens in the backcountry, doesn't always stay in the backcountry. Migration. Follow me for more animal migration stories.",1447460205,0,"PM",342946,0
"30",10,2198,246901,"2015-11-13 15:22:32","While visiting and working on a story for , I was at the North Gate of Taprohm in the temples of AngkorWat. As I learned in  to shoot a photo I almost laid my  hands on this MangoStemBorer beetle. This type of beetle can be a serious pest. The female cuts the tree bark and lays eggs into these cuts, laying a total of up to 200. On hatching the larvae start to tunnel into the sapwood of the trunk or branches, this development can take up to 2 years. Attack by Batocera rufomaculata often leads to the death of the tree. Economic loss can follow when the tree attacked bears fruits . The adult beetle emerges by a short tunnel running to the exterior and ending in a circular exit-hole. This beetle is good example of a invasive species. evolution  ",1447456952,-6,"PM",356801,1
"31",1,3272,401279,"2015-11-15 07:13:24","Photograph by  for .  A mother polar bear and her two year old cub drift on a piece of glacier ice through Hudson Strait, Nunavut.  Over 100 miles from land, this piece of ice was the only one we could locate for as far as the eye could see.  It is nothing for a large, healthy adult bear to swim vast distances either to land in order to rest, or to an ice pack in search of seals.  However, it is the younger bears that are having a harder time with these long periods of immersion in icy water where they are susceptible to hypothermia and energy expenditure.  Drifting in the open ocean, do you think that these bears are stranded?  Please followme on  as we address this topic of climate change and the effects on the polar regions.  I want to hear your thoughts as it is a debate that we cannot afford to leave unaddressed?  I have lived most of my life in the Canadian Arctic and have seen change first hand but I want to hear from you. With  thinblueline polarbear polar ice glacierice  climatechange 202020 wildlife gratitude explore nature smile love beauty adventure travel   instagood tbt follow followme photooftheday happy tagforlikes beautiful like picoftheday summer fun friends",1447600404,10,"AM",564879,1
"32",2,304,257094,"2015-11-15 05:59:50","  (Robbie Shone) - During last summer, a team of five scientists and explorers, funded by the National Geographic Committee for Research and Exploration embarked on an expedition to sample some of the most northerly explored caves on the planet for climate research. The  project successfully documented 26 caves and collected calcite samples, which will inform us about Greenland’s climate during the past. To read more about their work, please visit the National Geographic ‘NEWS’ site (tinyurl.com/oz5mya9).",1447595990,2,"AM",272294,0
"33",3,2095,521810,"2015-11-15 05:04:47","Photo  / The gnar-wall tower, deep in the southern fjords of greenland. Photographed during a climbing expedition, these remote fjords are some of the most beautiful and untouched places I have ever visited. It's a place that is changing drastically. With glacier and sea ice melting rapidly the ocean is absorbing more energy from the sun resulting in warmer air which in effect is creating faster thaw in permafrost. Permafrost melt creates a high release of methane in both the air and in water. This cycle increases weather patterns trapping in warmer temperatures, perpetuating and increasing the melt. As we see more permafrost exposed the result is quite beautiful and lush, but a finite scenario. As ice melts tundra fields will slowly dry out leaving behind a barren desert, effecting the wildlife and marine life as a result. This beauty we see here is fleeting, and if forecasts are true much will be gone in the next 50 years. This beauty is seen at a high price leaving big question marks as to what the future may hold.",1447592687,3,"AM",626560,0
"34",4,16575,619423,"2015-11-15 04:15:07","Photograph by  from April 2014  story on the remote atolls of Africa's Mozambique Channel. The nips and bumps of turtle courtship precede a mating that may last several hours, the male clinging to the shell of the female with his flippers and tail. Photograph taken during a  expedition. turtles conservation photooftheday love  Follow  for a new photo of our wondrous ocean realm everyday.",1447589707,1,"AM",1448173,0
"35",5,1587,397837,"2015-11-15 02:09:23","  Southern stingrays soar in formation through the ultra clear waters of North Sound Grand Cayman. I started  coverage of this population of rays in the late 80s when there were 7 rays at Sandbar that appeared regularly below fishing boats cleaning their catch. The rays were largely ignored or occasionally fished.  Now a few hundred rays populate North Sound and officially greet hundreds of tourists a day that pay to see these gentle creatures and offer them a pinch of  squid.  The rays have become ocean ambassadors that raise ocean awareness and create a first time connection with the sea for many who see, touch and swim with them. The rays are are integral to the environment and the economy. With   ocean beauty marineconservation for moreocean follow ",1447582163,1,"AM",477187,1
"36",6,1024,379183,"2015-11-15 01:04:55"," A peace angel over Svalbard! I took the photograph of this ""angel-cloud"" last time in Svalbard during the time of year when this place is held in darkness 24 hours per day... We are clearly at a point in history where terrorism, war, climate change and a rampant loss of biodiversity is part of everyday life. By standing united against violence and by celebrating passion, compassion and the remaining beauty of life on Earth,  love will prevail!  Follow my flow  for images celebrating  the beauty of our planet!  nikonnofilter norway svalbard paris beirut prayforparis instagood expedition arctic biodiversity stopclimatechange src bwsp photooftheday angels sky science snow    @",1447578295,2,"AM",430383,0
"37",7,2446,641134,"2015-11-14 19:44:32"," : A city forever the key holder to all things regarding love, life, passion, and beauty. In the aftermath of yesterday's tragic events, we are here for you as you were for us. I choose to focus on the humbling stories of Parisian's compassion for those affected, the city proving its infinite threshold for love. PrayforParis Parisisaboutlove Prayfortheworld Paris love",1447559072,1,"PM",763434,0
"38",8,1112,336037,"2015-11-14 19:00:54"," .  A Wagler’s Pit Viper (Tropidolaemus wagleri) poised on a vine in Gunung Palung National Park, Borneo.  One of my team members passed very close to this snake before we saw it, but it did not move.  This venomous snake is hunting birds or small mammals and doesn’t want to attack a large mammal like a human.Follow  to celebrate Indonesia’s Biodiversity with a different species every day.  savetherainforest, camouflage, IndonesiaBiodiversity, BorneoBiodiversity, megadiversity, Borneo, Indonesia, Malaysia, , , ,",1447556454,1,"PM",391637,1
"39",9,7533,336832,"2015-11-14 17:31:55","photo by  | Check out this Northern lesser galago at the Plzen Zoo in the Czech Republic. Follow me to see more members of the PhotoArk!",1447551115,0,"PM",713482,0
"40",1,618,118938,"2015-11-16 15:30:45","Six-year-old Tamara Pierre wears a hibiscus blossom in her hair in Ca Douche, Haiti. Photograph by Myrmara Prophete, 14. Bravo to the students of  for their incredible story in the December issue of . Many thanks to the magazine for giving young Haitians an opportunity to express themselves and portray Haiti as they live and see it, a proud and beautiful nation with proud people. -http:ngm.nationalgeographic.com/2015/12/haiti-photos-by-haitians-text      haiti beauty fotokonbit proudnation natgeo",1447716645,4,"PM",149838,0
"41",2,2277,235272,"2015-11-16 14:04:39","  Out-take from 2015  magazine story on southern African marine reserves. A free diver swims beneath a tiger shark in the Aliwal Shoal marine reserve off South Africa’s East coast.   For more shark images follow NatGeo photographer   picoftheday fun love nature adventure ocean shark southafrica photooftheday",1447711479,4,"PM",349122,1
"42",3,344,143277,"2015-11-16 12:53:55","photo by  I have come across quite a number of Shiva temples in South Asia. Shiva is regarded as limitless and transcend in Hinduism AND I especially like that Shiva is also regarded as the patron god of yoga and arts. This Shiva temple in Bangalore was the first temple I encountered that's open 24/7 and the chanting is seemingly more soothing in the night. magnumphotos cccontheroad cccJetLag Shiva",1447707235,3,"PM",160477,0
"43",4,358,191264,"2015-11-16 11:20:59","Photo from  | Gabon's offshore oil platforms act as artificial reefs that attract and support a wide array of fish life. While on an expedition to southern Gabon in 2012, Pristine Seas divers swam through murky emerald waters; nutrient-charged freshwater pouring in from the Congo River creates blooms of plankton that give the water its green color.  National Geographic Explorer-in-Residence and Pristine Seas leader . Follow  to the wildest and most remote places on earth. National Geographic's Pristine Seas project is on a mission to explore, document, and help protect these places, and inspire world leaders to establish marine reserves where marine life can thrive for generations to come. pristineseas ocean oilplatform conservation exploration Gabon",1447701659,6,"AM",209164,1
"44",5,767,255882,"2015-11-16 09:42:11","Study in blue. A haze hangs over the Grand Canyon after a winter storm. Hiking in this canyon labyrinth, large enough to swallow the Pyrennes Mtns, to continue my exploration of this national park by foot. Shot on assignment by  for . Thanks for the wings . grandcanyon aerial wilderness northrim chasingrivers gratitude landscape sonyalpha",1447695731,3,"AM",294232,0
"45",6,944,306542,"2015-11-16 08:21:00","Photograph by George Steinmetz  The first rays of sunlight illuminate our iconic national symbol, a gift of France that was dedicated in 1876. From the just-released book New York Air ",1447690860,2,"AM",353742,0
"46",7,266,170045,"2015-11-16 07:13:02"," . People stop to watch an LED display in the new City Center development in downtown Washington, DC.",1447686782,-1,"AM",183345,0
"47",8,480,258976,"2015-11-16 05:52:12"," Jim Richardson   Thousands of gannets nest atop Stac Lee just next to the uninhabited Scottish island of Boreray. It's a wild place some 40 miles west of the Outer Hebrides out in the North Atlantic. These remote islands are critical nesting refuges  for shorebirds. Scotland nature wild  ",1447681932,0,"AM",282976,0
"48",9,1478,364401,"2015-11-16 01:32:51","Image by . Wild eyes and unsheathed claws as lion cubs tussle over a twisted palm root. Everything is a potential game to cubs as they grow in strength and slowly turn into apex predators like the rest of their pride. lions bigcats causeanuproar cubs play",1447666371,2,"AM",438301,1
"49",10,641,295735,"2015-11-16 00:06:58","  (Robbie Shone) - An explorer edges his way along a narrow passage carved out by meltwater deep beneath the surface of the Gorner glacier, Switzerland. What's around the next corner? Will it end soon, or will it keep going? Photograph taken from a recent expedition to explore and document moulins on the second largest glacial system in the Alps.",1447661218,0,"AM",327785,0
"50",11,9247,455879,"2015-11-15 22:31:11","photo by  | You will get a hoot out of this Ural owl from the Plzen Zoo in the Czech Republic. Follow me to see more members of the PhotoArk! photooftheday joelsartore",1447655471,0,"PM",918229,0
"51",12,4073,495954,"2015-11-15 21:03:46","Photograph by   A coastal wolf of British Columbia peers at me through the grass.  I love being discovered by these great predators and then accepted.  After she fully assessed me with her incomparable senses,  she went to sleep in a bed of grass just twenty feet away.  I put my camera down so as not to bother her with the annoying sound of the camera shutter.  I leaned against a log, closed my eyes and realized the moment that I was resting in a grassy field with a wild wolf on the outer islands of British Columbia.  I am not sure if it gets much better than that. So, what does it mean to me when I hear that  has banned oil tankers from the BC Coast.  It means that species like the genetically distinct wolves of BC will continue to roam free.  followme on  to learn a lot more about this unique species. 202020 wildlife gratitude explore nature smile love beauty adventure travel   instagood tbt follow followme photooftheday happy tagforlikes beautiful like picoftheday summer fun friends",1447650226,10,"PM",699604,1
"52",13,1412,381167,"2015-11-15 19:25:40","Photograph by  These two blacktip sharks turned just a few inches from my underwater camera and elegantly avoided what I was certain was going to be a collision. Blacktip sharks have become quite common along South Africa's east coast over the past decade and are the focus of a shark tourism industry centered on the KwaZulu Natal coast. Their slender pointy teeth are specialized for feeding on small fish. I shot this photograph for my recent book ""Sharks and People"" published by the University of Chicago Press.     For more photographs of sharks from all corners of the world please follow   sharks picoftheday photooftheday nature southafrica ocean",1447644340,1,"PM",451767,1
"53",1,1662,151917,"2015-11-17 22:06:48","First Swim by  A 10+ day old harp seal pup called a white coat  practices swimming in a small opening in the sea ice covering the  GulfofStLawrence, Quebec, Canada. Life in the ice is challenging for these beautiful creatures that are nursed for two weeks and then abandoned. The pups must learn to swim and survive on their own and many do not succeed. In recent years weak ice formation has disintegrated beneath the pups before they were ready to swim.  An outake from on assignment with    beauty baby oceans climatechange harpseal picoftheday Join us in Breckenridge Colorado Nov 18 at Riverwalk  for NatGeoLive CoralFireIce For moreocean follow ",1447826808,0,"PM",235017,1
